OriginalID,Study,FlightID,Origin,Destination,Fleet,Carrier,Departure Time,Arrival Time,Ref Ellipsoid,SW Corner,NE Corner,Simulation Start-Time
290,NATselB_2019,41816,JFK,FCO,333,DL,90000,119460,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
291,NATselB_2019,41916,JFK,MUC,346,LH,81000,108240,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
292,NATselB_2019,42004,IAD,VIE,76W,OS,81300,112500,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
293,NATselB_2019,42840,YUL,FCO,332,TS,96000,124380,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
294,NATselB_2019,42915,BOS,LHR,777,BA,96000,117840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
295,NATselB_2019,42936,EWR,LHR,777,BA,95700,118860,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
296,NATselB_2019,43018,EWR,LHR,763,UA,93600,117540,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
297,NATselB_2019,43058,YUL,BRU,332,TS,93300,117300,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
298,NATselB_2019,43151,YUL,NCE,763,AC,85500,111840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
299,NATselB_2019,43232,ORD,VIE,772,OS,80460,111720,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
300,NATselB_2019,43408,CLT,LHR,333,AA,86760,114240,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
301,NATselB_2019,43992,JFK,LHR,744,BA,84600,107220,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
302,NATselB_2019,44036,JFK,LHR,772,AA,87900,111000,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
303,NATselB_2019,44112,JFK,LHR,333,VS,91800,115680,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
304,NATselB_2019,4418,IAD,BRU,777,UA,81300,107220,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
305,NATselB_2019,44296,CLT,DUB,332,AA,86100,111840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
306,NATselB_2019,44298,CLT,BCN,332,AA,91260,121320,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
307,NATselB_2019,44382,BWI,LHR,777,BA,93000,117240,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
